                         Dashboard of Telecom Customer Churn Analysis,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,State,Churned
,,,,,,,,,,,WV,57
,,,,,,,,,,,OH,55
,,,,,,,,,,,OR,48
,,,,,,,,,,,MD,46
,,,,,,,,,,,AL,46
,,,,,,,,,,,MT,43
,,,,,,,,,,,CA,43
,,,,,,,,,,,VA,42
,,,,,,,,,,,TX,42
,,,,,,,,,,,IN,42
,,,,,,,,,,,ID,41
,,,,,,,,,,,NE,40
,,,,,,,,,,,MI,40
,,,,,,,,,,,WI,39
,,,,,,,,,,,VT,39
,,,,,,,,,,,NY,39
,,,,,,,,,,,WY,38
,,,,,,,,,,,MN,38
,,,,,,,,,,,CT,38
,,,,,,,,,,,NJ,37
,,,,,,,,,,,MS,37
,,,,,,,,,,,DE,37
,,,,,,,,,,,UT,36
,,,,,,,,,,,SC,36
,,,,,,,,,,,NV,36
,,,,,,,,,,,NH,36
,,,,,,,,,,,MO,36
,,,,,,,,,,,KY,36
,,,,,,,,,,,KS,36
,,,,,,,,,,,RI,33
,,,,,,,,,,,MA,33
,,,,,,,,,,,IL,33
,,,,,,,,,,,ND,31
,,,,,,,,,,,PA,30
,,,,,,,,,,,NM,30
,,,,,,,,,,,AZ,30
,,,,,,,,,,,AK,30
,,,,,,,,,,,WA,29
,,,,,,,,,,,ME,29
,,,,,,,,,,,CO,29
,,,,,,,,,,,NC,28
,,,,,,,,,,,HI,28
,,,,,,,,,,,SD,27
,,,,,,,,,,,FL,27
,,,,,,,,,,,AR,27
,,,,,,,,,,,LA,25
,,,,,,,,,,,GA,25
,,,,,,,,,,,TN,24
,,,,,,,,,,,OK,24
,,,,,,,,,,,IA,24
,,,,,,,,,,,DC,21
,,,,,,,,,,,Grand Total,1796